source,symbol,name,sourceAddress,sourceDecimals,coingeckoId,logo,solAddress,solDecimals,ethAddress,ethDecimals,bscAddress,bscDecimals,terraAddress,terraDecimals,maticAddress,maticDecimals,avaxAddress,avaxDecimals,oasisAddress,oasisDecimals,algorandAddress,algorandDecimals,ftmAddress,ftmDecimals,auroraAddress,auroraDecimals,karuraAddress,karuraDecimals,acalaAddress,acalaDecimals,klaytnAddress,klaytnDecimals,celoAddress,celoDecimals,nearAddress,nearDecimals,moonbeamAddress,moonbeamDecimals,terra2Address,terra2Decimals,injectiveAddress,injectiveDecimals,xplaAddress,xplaDecimals,optimismAddress,optimismDecimals,arbitrumAddress,arbitrumDecimals,aptosAddress,aptosDecimals,baseAddress,baseDecimals
eth,SOS,OpenDAO (Portal),0x3b484b82567a09e2588a13d54d032153f0c0aee0,18.0,opendao,,6Q5fvsJ6kgAFmisgDqqyaFd9FURYzHf8MCUbpAUaGZnE,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SPELL,Spell Token (Portal),0x090185f2135308bad17527004364ebcc2d37e5f6,18.0,spell-token,,BCsFXYm81iqXyYmrLKgAp3AePcgLHnirb8FjTs6sjM7U,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SRMet,Serum (Portal from Ethereum),0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,6.0,serum,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG,6.0,,,0xd63CDf02853D759831550fAe7dF8FFfE0B317b39,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SUSHI,SushiToken (Portal),0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18.0,sushi,https://etherscan.io/token/images/sushitoken_32.png,ChVzxWRmrTeSgwd3Ui3UumcN8KX7VK3WaD4KGeSKpypj,8.0,,,0x3524fd7488fdb1F4723BBc22C9cbD1Bf89f46E3B,18.0,terra1csvuzlf92nyemu6tv25h0l79etpe8hz3h5vn4a,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SWAG,SWAG Finance (Portal),0x87edffde3e14c7a66c9b9724747a1c5696b742e6,18.0,swag-finance,,5hcdG6NjQwiNhVa9bcyaaDsCyA1muPQ6WRzQwHfgeeKo,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,SXP,Swipe (Portal),0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,18.0,swipe,,3CyiEDRehaGufzkpXJitCP5tvh7cNhRqd9rPBxZrgK5z,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,T,Threshold Network Token,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,18.0,threshold-network-token,https://assets.coingecko.com/coins/images/22228/small/nFPNiSbL_400x400.jpg?1641220340,4Njvi3928U3figEF5tf8xvjLC5GqUN33oe4XTJNe7xXC,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,TBTC,Threshold Bitcoin,0x18084fbA666a33d37592fA2633fD49a74DD93a88,18.0,tbtc,https://assets.coingecko.com/coins/images/11224/small/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1674474504,6DNSN2BJsaPFdFFc1zP37kkeNe4Usc1Sqkzr9C9vPWcU,8.0,,,,,,,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,8.0,0x6c84a8f1c29108F47a79964b5Fe888D4f4D0dE40,8.0,,,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,8.0
eth,TOKE,Tokemak (Portal),0x2e9d63788249371f1dfc918a52f8d799f4a38c94,18.0,tokemak,,3EQ6LqLkiFcoxTeGEsHMFpSLWNVPe9yT7XPX2HYSFyxX,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,TRIBE,Tribe (Portal),0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18.0,tribe,,DPgNKZJAG2w1S6vfYHDBT62R4qrWWH5f45CnxtbQduZE,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,UBXT,UpBots (Portal),0x8564653879a18c560e7c0ea0e084c516c62f5653,18.0,upbots,,FTtXEUosNn6EKG2SQtfbGuYB4rBttreQQcoWn1YDsuTq,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,UFO,UFO Gaming (Portal),0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,18.0,ufo-gaming,,GWdkYFnXnSJAsCBvmsqFLiPPe2tpvXynZcJdxf11Fu3U,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,UNI,Uniswap (Portal),0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18.0,uniswap,https://etherscan.io/token/images/uniswap_32.png,8FU95xFJhUUkyyCLU13HSzDLs7oC4QZdXQHL6SCeab36,8.0,,,,,terra1wyxkuy5jq545fn7xfn3enpvs5zg9f9dghf6gxf,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eth,USDCet,USD Coin (Portal from Ethereum),0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6.0,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,A9mUU4qviSctJVPJdBJWkb28deg915LYJKrzQ19ji3FM,6.0,,,0xB04906e95AB5D797aDA81508115611fee694c2b3,6.0,terra1pepwcav40nvj3kh60qqgrk8k07ydmc00xyat06,6.0,0x4318cb63a2b8edf2de971e2f17f77097e499459d,6.0,0xB24CA28D4e2742907115fECda335b40dbda07a4C,6.0,0xE8A638b3B7565Ee7c5eb9755E58552aFc87b94DD,6.0,,,0x2Ec752329c3EB419136ca5e4432Aa2CDb1eA23e6,6.0,,,,,,,,,0x37f750B7cC259A2f741AF45294f6a16572CF5cAd,6.0,,,0x931715FEE2d06333043d11F658C8CE934aC61D0c,6.0,,,,,,,,,,,0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea,6.0,,
eth,USDK,USDK (Portal),0x1c48f86ae57291f7686349f12601910bd8d470bb,18.0,usdk,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/43m2ewFV5nDepieFjT9EmAQnc1HRtAF247RBpLGFem5F/logo.png,43m2ewFV5nDepieFjT9EmAQnc1HRtAF247RBpLGFem5F,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
